sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,new,featured,guest_checkout,length,width,height,weight,tax_category_name,price,cost,special_price,special_price_from,special_price_to,customer_group_prices,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,configurable_variants,bundle_options,associated_skus,booking_options
SP-008,CP-001,en,default,simple,"Men/Winter Wear","11.webp,12.webp","OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L","Introducing the OmniHeat Men's Solid Hooded Puffer Jacket, your go-to solution for staying warm and fashionable during colder seasons. This jacket is crafted with durability and warmth in mind, ensuring it becomes your trusted companion. The hooded design not only adds a touch of style but also provides additional warmth, shielding you from cold winds and weather. The full sleeves offer complete coverage, ensuring you stay cozy from shoulder to wrist. Equipped with insert pockets, this puffer jacket provides convenience for carrying your essentials or keeping your hands warm. The insulated synthetic filling offers enhanced warmth, making it ideal for battling chilly days and nights. Made from a durable polyester shell and lining, this jacket is built to last and endure the elements. Available in 5 attractive colors, you can choose the one that suits your style and preference. Versatile and functional, the OmniHeat Men's Solid Hooded Puffer Jacket is suitable for various occasions, whether you're heading to work, going for a casual outing, or attending an outdoor event. Experience the perfect blend of style, comfort, and functionality with OmniHeat Men's Solid Hooded Puffer Jacket. Elevate your winter wardrobe and stay snug while embracing the outdoors. Beat the cold in style and make a statement with this essential piece.","Stay warm and stylish with our OmniHeat Men's Solid Hooded Puffer Jacket. This jacket is designed to provide ultimate warmth and features insert pockets for added convenience. The insulated material ensures you stay cozy in cold weather. Available in 5 attractive colors, making it a versatile choice for various occasions.",1,0,0,0,0,,,,1,,21,,17,2024-02-01,2024-02-15,,omniheat-mens-solid-hooded-puffer-jacket-blue-green-l,"Meta Title","meta1, meta2, meta5","meta description",1,default=100,,,,,,,
BKP-DEFAULT-001,,en,default,booking,"Men/Winter Wear",,"Weekly Yoga Retreat - One Booking for Many Days","A multi-day yoga retreat that runs weekly from Monday to Friday.","Weekly multi-day yoga retreat.",1,1,,,,,,,,,250,,,,,,weekly-yoga-retreat-multi-day,"Weekly Yoga Retreat - One Booking for Many Days",,"Weekly multi-day yoga retreat.",0,,,,,,,,"type=default,qty=10,location=Mountain Retreat Center,show_location=1,available_from=2026-05-01,available_to=2027-12-31,allow_cancellation=1|booking_type=one|from_day=1,from=09:00,to_day=5,to=17:00"
BKP-DEFAULT-002,,en,default,booking,"Men/Winter Wear",,"Weekly Workshop - Many Bookings Per Day","Recurring workshop available multiple days per week with single slot per day.","Weekly workshop slots.",1,1,,,,,,,,,30,,,,,,weekly-workshop-many-bookings,"Weekly Workshop - Many Bookings Per Day",,"Weekly workshop slots.",0,,,,,,,,"type=default,qty=10,location=Main Hall,show_location=1,available_from=2026-05-01,available_to=2027-12-31,allow_cancellation=1|booking_type=many,duration=60,break_time=15|day=1,from=09:00,to=17:00|day=3,from=10:00,to=16:00|day=5,from=09:00,to=15:00"
BKP-DEFAULT-003,,en,default,booking,"Men/Winter Wear",,"Seasonal Cruise - One Booking for Many Days","A summer cruise available only during the June-August window, running weekend to weekend.","Seasonal multi-day cruise.",1,1,,,,,,,,,800,,,,,,seasonal-cruise-multi-day,"Seasonal Cruise - One Booking for Many Days",,"Seasonal multi-day cruise.",0,,,,,,,,"type=default,qty=5,location=Harbor Dock 12,show_location=1,available_every_week=0,available_from=2026-06-01,available_to=2026-08-31,allow_cancellation=0|booking_type=one|from_day=6,from=16:00,to_day=6,to=22:00"
BKP-DEFAULT-004,,en,default,booking,"Men/Winter Wear",,"Summer Camp - Many Bookings Per Day","Summer camp sessions available during July and August only.","Summer camp seasonal bookings.",1,1,,,,,,,,,45,,,,,,summer-camp-seasonal,"Summer Camp - Many Bookings Per Day",,"Summer camp seasonal bookings.",0,,,,,,,,"type=default,qty=20,location=Camp Grounds,show_location=1,available_every_week=0,available_from=2026-07-01,available_to=2026-08-31,allow_cancellation=1|booking_type=many,duration=90,break_time=15|day=1,from=10:00,to=14:00|day=2,from=10:00,to=14:00|day=3,from=10:00,to=14:00|day=4,from=10:00,to=14:00|day=5,from=10:00,to=14:00"
BKP-APT-001,,en,default,booking,"Men/Winter Wear",,"Hair Salon Appointment - Same Slot All Days","Book a 45-minute hair styling session. Same opening hours every day.","Hair styling appointment.",1,1,,,,,,,,,50,,,,,,hair-salon-appointment-same,"Hair Salon Appointment - Same Slot All Days",,"Hair styling appointment.",0,,,,,,,,"type=appointment,qty=5,location=Downtown Salon,show_location=1,available_every_week=1,allow_cancellation=1|duration=45,break_time=15,same_slot_all_days=1|day=all,from=10:00,to=18:00"
BKP-APT-002,,en,default,booking,"Men/Winter Wear",,"Doctor Consultation - Per-Day Slots","Doctor consultation with different hours per weekday.","Doctor consultation with weekday-specific hours.",1,1,,,,,,,,,75,,,,,,doctor-consultation-per-day,"Doctor Consultation - Per-Day Slots",,"Doctor consultation with weekday-specific hours.",0,,,,,,,,"type=appointment,qty=3,location=Medical Center,show_location=1,available_every_week=1,allow_cancellation=1|duration=30,break_time=10,same_slot_all_days=0|day=1,from=09:00,to=12:00|day=1,from=15:00,to=18:00|day=2,from=09:00,to=13:00|day=3,from=09:00,to=12:00|day=4,from=14:00,to=19:00|day=5,from=09:00,to=13:00"
BKP-APT-003,,en,default,booking,"Men/Winter Wear",,"Seasonal Spa Treatment - Date Range","Specialty spa treatment available only during a promotional period.","Limited-time spa treatment.",1,1,,,,,,,,,120,,,,,,seasonal-spa-treatment,"Seasonal Spa Treatment - Date Range",,"Limited-time spa treatment.",0,,,,,,,,"type=appointment,qty=4,location=Wellness Center,show_location=1,available_every_week=0,available_from=2026-05-01,available_to=2026-05-31,allow_cancellation=1|duration=60,break_time=15,same_slot_all_days=1|day=all,from=11:00,to=19:00"
BKP-TABLE-001,,en,default,booking,"Men/Winter Wear",,"Restaurant Table - Priced Per Table","Reserve a table at our restaurant. Single price per table for up to 4 guests.","Restaurant reservation, priced per table.",1,1,,,,,,,,,80,,,,,,restaurant-table-per-table,"Restaurant Table - Priced Per Table",,"Restaurant reservation, priced per table.",0,,,,,,,,"type=table,qty=20,location=Main Restaurant,show_location=1,available_every_week=1,allow_cancellation=1|price_type=table,guest_limit=4,duration=120,break_time=30,prevent_scheduling_before=1,same_slot_all_days=1|day=all,from=18:00,to=22:00"
BKP-TABLE-002,,en,default,booking,"Men/Winter Wear",,"Restaurant Table - Priced Per Guest","Reserve a table with price per guest. Great for variable-size groups.","Restaurant reservation, priced per guest.",1,1,,,,,,,,,25,,,,,,restaurant-table-per-guest,"Restaurant Table - Priced Per Guest",,"Restaurant reservation, priced per guest.",0,,,,,,,,"type=table,qty=30,location=Garden Restaurant,show_location=1,available_every_week=1,allow_cancellation=1|price_type=guest,duration=90,break_time=15,prevent_scheduling_before=0,same_slot_all_days=1|day=all,from=12:00,to=22:00"
BKP-TABLE-003,,en,default,booking,"Men/Winter Wear",,"Holiday Special Table - Date Range","Holiday dinner table reservation available during the holiday season only.","Holiday season reservation.",1,1,,,,,,,,,150,,,,,,holiday-table-date-range,"Holiday Special Table - Date Range",,"Holiday season reservation.",0,,,,,,,,"type=table,qty=10,location=Festive Hall,show_location=1,available_every_week=0,available_from=2026-12-20,available_to=2026-12-31,allow_cancellation=0|price_type=table,guest_limit=6,duration=180,break_time=30,prevent_scheduling_before=2,same_slot_all_days=1|day=all,from=18:00,to=23:00"
BKP-RENTAL-001,,en,default,booking,"Men/Winter Wear",,"Apartment Rental - Daily","A furnished apartment available for daily rental.","Furnished apartment, daily rental.",1,1,,,,,,,,,120,,,,,,apartment-rental-daily,"Apartment Rental - Daily",,"Furnished apartment, daily rental.",0,,,,,,,,"type=rental,qty=2,location=City Center Apartment,show_location=1,available_every_week=1,allow_cancellation=1|renting_type=daily,daily_price=120.00,same_slot_all_days=1|day=all,from=00:00,to=23:59"
BKP-RENTAL-002,,en,default,booking,"Men/Winter Wear",,"Conference Room - Hourly","Professional conference room rentable by the hour.","Hourly conference room rental.",1,1,,,,,,,,,25,,,,,,conference-room-hourly,"Conference Room - Hourly",,"Hourly conference room rental.",0,,,,,,,,"type=rental,qty=4,location=Business Tower,show_location=1,available_every_week=1,allow_cancellation=1|renting_type=hourly,hourly_price=25.00,same_slot_all_days=1|day=all,from=08:00,to=20:00"
BKP-RENTAL-003,,en,default,booking,"Men/Winter Wear",,"Car Rental - Daily & Hourly","Rent a car either by the day or by the hour.","Flexible car rental.",1,1,,,,,,,,,75,,,,,,car-rental-daily-hourly,"Car Rental - Daily & Hourly",,"Flexible car rental.",0,,,,,,,,"type=rental,qty=3,location=Airport Parking,show_location=1,available_every_week=1,allow_cancellation=1|renting_type=daily_hourly,daily_price=75.00,hourly_price=12.00,same_slot_all_days=1|day=all,from=06:00,to=22:00"
BKP-RENTAL-004,,en,default,booking,"Men/Winter Wear",,"Ski Equipment - Seasonal Daily","Ski gear rental available only during the winter season.","Seasonal ski equipment rental.",1,1,,,,,,,,,40,,,,,,ski-equipment-seasonal,"Ski Equipment - Seasonal Daily",,"Seasonal ski equipment rental.",0,,,,,,,,"type=rental,qty=15,location=Mountain Resort,show_location=1,available_every_week=0,available_from=2026-12-01,available_to=2027-03-31,allow_cancellation=1|renting_type=daily,daily_price=40.00,same_slot_all_days=1|day=all,from=08:00,to=18:00"
BKP-EVENT-001,,en,default,booking,"Men/Winter Wear",,"Summer Music Festival 2026","Experience an unforgettable evening at the Summer Music Festival 2026 featuring international artists across multiple genres.","Live international music festival.",1,1,,,,,,,,,50,,,,,,summer-music-festival-2026,"Summer Music Festival 2026",,"Live international music festival.",0,,,,,,,,"type=event,location=Central Park Amphitheater,show_location=1,available_every_week=0,available_from=2026-07-15 19:00:00,available_to=2026-07-15 23:00:00,allow_cancellation=0|ticket=1,name=VIP,qty=50,price=100.00,special_price=85.00,description=Front row seating with meet-and-greet|ticket=2,name=Standard,qty=300,price=50.00,description=General admission"
